time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.016296,-0.072449,0.485901,0.034058,-0.027771,-0.07666
0.02,0.015015,-0.073914,0.502991,0.070801,-0.216248,-0.253052
0.04,0.015198,-0.073792,0.50293,0.043823,-0.124268,-0.045593
0.06,0.015747,-0.074097,0.502747,-0.012695,0.033936,0.000549
0.08,0.015564,-0.073792,0.503479,-0.012695,0.034119,0.00293
0.1,0.014771,-0.073425,0.503296,-0.012329,0.031738,0.004395
0.12,0.015259,-0.073975,0.502563,-0.009216,0.022583,0.003845
0.14,0.015442,-0.073975,0.503357,0.000366,-0.002563,-0.000183
0.16,0.015015,-0.073608,0.503296,0.001099,-0.004578,-0.000488
0.18,0.014709,-0.073608,0.503113,0.001099,-0.0047,-0.000488
0.2,0.014709,-0.074097,0.503418,0.00116,-0.004639,-0.000549
0.22,0.015259,-0.074036,0.502869,0.00116,-0.004517,-0.00061
0.24,0.015686,-0.073914,0.503601,0.00116,-0.004517,-0.000488
0.26,0.014893,-0.074036,0.503601,0.00116,-0.004578,-0.000488
0.28,0.015503,-0.07312,0.503784,0.001221,-0.004517,-0.000549
0.3,0.015259,-0.073975,0.503601,0.001099,-0.004578,-0.000549
0.32,0.015137,-0.073425,0.503357,0.00116,-0.004578,-0.000671
0.34,0.015259,-0.073608,0.503784,0.001099,-0.0047,-0.00061
0.36,0.015015,-0.073486,0.503967,0.001099,-0.0047,-0.000549
0.38,0.015259,-0.073303,0.503845,0.001099,-0.004578,-0.00061
0.4,0.015381,-0.073792,0.503601,0.001099,-0.004639,-0.000549
0.42,0.015381,-0.07373,0.50354,0.001221,-0.004639,-0.000549
0.44,0.01532,-0.074097,0.503357,0.00116,-0.004578,-0.00061
0.46,0.014771,-0.073853,0.503113,0.001099,-0.004639,-0.000488
0.48,0.01532,-0.074158,0.50354,0.001099,-0.004578,-0.000488
0.5,0.015625,-0.074158,0.503906,0.001099,-0.004517,-0.00061
0.52,0.015015,-0.07373,0.503784,0.001038,-0.004517,-0.000549
0.54,0.01532,-0.073486,0.503662,0.00116,-0.004578,-0.000549
0.56,0.015076,-0.072998,0.503845,0.00116,-0.004578,-0.000549
0.58,0.015137,-0.073608,0.503723,0.00116,-0.004578,-0.000488
0.6,0.015137,-0.073792,0.50354,0.001099,-0.004639,-0.000488
0.62,0.014893,-0.074158,0.503479,0.00116,-0.004639,-0.000488
0.64,0.015198,-0.073425,0.504028,0.001099,-0.004639,-0.000549
0.66,0.015015,-0.073975,0.503723,0.001099,-0.004517,-0.000549
0.68,0.015259,-0.074097,0.503357,0.001099,-0.004639,-0.000427
0.7,0.01532,-0.074158,0.504272,0.001099,-0.004639,-0.000549
0.72,0.015015,-0.073853,0.503845,0.001221,-0.004578,-0.000549
0.74,0.014709,-0.073669,0.503845,0.001038,-0.004578,-0.000549
0.76,0.014526,-0.073792,0.504028,0.001099,-0.0047,-0.00061
0.78,0.015259,-0.073547,0.503906,0.00116,-0.004639,-0.000671
0.8,0.015381,-0.073853,0.503479,0.001099,-0.004639,-0.00061
0.82,0.015137,-0.073975,0.503845,0.00116,-0.004639,-0.00061
0.84,0.01532,-0.074219,0.503784,0.001099,-0.004639,-0.000549
0.86,0.015259,-0.073914,0.503845,0.001099,-0.004517,-0.000549
0.88,0.015625,-0.073975,0.504761,0.001099,-0.004517,-0.000488
0.9,0.015076,-0.074158,0.503662,0.001099,-0.004578,-0.000488
0.92,0.015137,-0.073486,0.503845,0.001099,-0.004639,-0.000427
0.94,0.014893,-0.073792,0.504028,0.00116,-0.004517,-0.000488
0.96,0.01532,-0.07373,0.503662,0.001038,-0.004517,-0.000549
0.98,0.015137,-0.073669,0.503906,0.001099,-0.004578,-0.00061
1.0,0.01532,-0.074036,0.504028,0.001099,-0.004517,-0.000488
